piside: 515, score: 707.7656486172405, avg score: 620.7767512689095, best_score: 623.7224165011878
episide: 807, score: 437.4535401361513, avg score: 443.36738045023696, best_score: 650.8302795012576
episide: 808, score: 570.6621964294837, avg score: 444.9169895033529, best_score: 650.8302795012576
episide: 809, score: 606.344629038214, avg score: 445.34075684377257, best_score: 650.8302795012576
episide: 810, score: 522.1920917359423, avg score: 444.15908301652036, best_score: 650.8302795012576
episide: 811, score: 222.12486925463128, avg score: 435.0549796476869, best_score: 650.8302795012576
episide: 812, score: 511.19008680367307, avg score: 435.39504402848456, best_score: 650.8302795012576
episide: 813, score: 414.7325313287391, avg score: 434.0239560684508, best_score: 650.8302795012576
episide: 814, score: 329.5985667609813, avg score: 428.4892860168303, best_score: 650.8302795012576
episide: 815, score: 373.01213135838947, avg score: 422.0961840247164, best_score: 650.8302795012576
episide: 816, score: 515.6247935938908, avg score: 422.46841439339914, best_score: 650.8302795012576
episide: 817, score: 505.3242668761786, avg score: 424.8773696222228, best_score: 650.8302795012576
episide: 818, score: 320.2545166346257, avg score: 421.792139256391, best_score: 650.8302795012576
episide: 819, score: 533.496491005283, avg score: 424.79085069859207, best_score: 650.8302795012576
episide: 820, score: 543.8851518957896, avg score: 433.2976438607699, best_score: 650.8302795012576
episide: 821, score: 497.4128667592795, avg score: 440.2296658959672, best_score: 650.8302795012576
episide: 822, score: 488.2163368648996, avg score: 446.5757241124526, best_score: 650.8302795012576
episide: 823, score: 487.56158673922073, avg score: 453.40606800693934, best_score: 650.8302795012576
episide: 824, score: 526.4886178375239, avg score: 457.3935395314214, best_score: 650.8302795012576
episide: 825, score: 454.8641611544537, avg score: 460.57403525409836, best_score: 650.8302795012576
episide: 826, score: 546.8131336365534, avg score: 465.16595782089297, best_score: 650.8302795012576
episide: 827, score: 610.0935000163331, avg score: 473.7489352280173, best_score: 650.8302795012576
episide: 828, score: 559.0189424104881, avg score: 480.66293689593766, best_score: 650.8302795012576
episide: 829, score: 550.4288596277528, avg score: 484.89727954688766, best_score: 650.8302795012576
episide: 830, score: 610.0632732203737, avg score: 490.14247031117594, best_score: 650.8302795012576
episide: 831, score: 507.56880959458914, avg score: 491.8995610405316, best_score: 650.8302795012576
episide: 832, score: 469.2867992207705, avg score: 491.7889336660631, best_score: 650.8302795012576
episide: 833, score: 550.3775526187883, avg score: 493.1323518321538, best_score: 650.8302795012576
episide: 834, score: 530.4102214992714, avg score: 493.8916661797333, best_score: 650.8302795012576
episide: 835, score: 516.2390683831239, avg score: 494.95256780917015, best_score: 650.8302795012576
episide: 836, score: 612.3202653726629, avg score: 496.2884274607579, best_score: 650.8302795012576
