step: 90, action: Close_NoOpen, current_price: 24096.82, current_worth: 998220.7468940081, realized_p: -1779.2531059918244, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 91, action: Close_NoOpen, current_price: 23855.35, current_worth: 998220.7468940081, realized_p: -1779.2531059918244, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 92, action: Long_Open, current_price: 23335.92, current_worth: 998220.7468940081, realized_p: -1779.2531059918244, open_positions_held: 1, quantity_held:4.277614711114918, open_original_value:99822.07468940083, open_current_value:99822.07468940083
step: 93, action: Close, current_price: 23198.25, current_worth: 997532.6145012568, realized_p: -2467.3854987431373, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 94, action: Close_NoOpen, current_price: 20829.32, current_worth: 997532.6145012568, realized_p: -2467.3854987431373, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 95, action: Hold, current_price: 21141.95, current_worth: 997532.6145012568, realized_p: -2467.3854987431373, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 96, action: Long_Open, current_price: 21512.28, current_worth: 997532.6145012568, realized_p: -2467.3854987431373, open_positions_held: 1, quantity_held:4.637038075467858, open_original_value:99753.26145012569, open_current_value:99753.26145012569
step: 97, action: Close, current_price: 21397.0, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 98, action: Close_NoOpen, current_price: 21528.61, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 99, action: Close_NoOpen, current_price: 21367.42, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 100, action: Hold, current_price: 21558.82, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 101, action: Close_NoOpen, current_price: 20243.48, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 102, action: Hold, current_price: 20039.86, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 103, action: Close_NoOpen, current_price: 19552.34, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 104, action: Hold, current_price: 20290.0, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 105, action: Close_NoOpen, current_price: 19812.65, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 106, action: Hold, current_price: 20060.32, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 107, action: Close_NoOpen, current_price: 20132.97, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 108, action: Hold, current_price: 19954.16, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 109, action: Close_NoOpen, current_price: 19832.06, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 110, action: Close_NoOpen, current_price: 20002.38, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 111, action: Close_NoOpen, current_price: 19795.12, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 112, action: Close_NoOpen, current_price: 18790.39, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 113, action: Hold, current_price: 19290.53, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 114, action: Close_NoOpen, current_price: 19322.54, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 115, action: Close_NoOpen, current_price: 21360.97, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 116, action: Close_NoOpen, current_price: 21650.6, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 117, action: Close_NoOpen, current_price: 21830.0, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 118, action: Close_NoOpen, current_price: 22400.0, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 119, action: Close_NoOpen, current_price: 20173.75, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 120, action: Hold, current_price: 20231.0, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 121, action: Long_Open, current_price: 19698.24, current_worth: 996898.8380482162, realized_p: -3101.1619517838553, open_positions_held: 1, quantity_held:5.0608523301991255, open_original_value:99689.88380482163, open_current_value:99689.88380482163
step: 122, action: Close, current_price: 19800.4, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 123, action: Close_NoOpen, current_price: 20112.04, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 124, action: Close_NoOpen, current_price: 19417.99, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 125, action: Close_NoOpen, current_price: 19540.33, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 126, action: Close_NoOpen, current_price: 18880.27, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 127, action: Hold, current_price: 18464.23, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 128, action: Close_NoOpen, current_price: 19403.29, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 129, action: Close_NoOpen, current_price: 19288.36, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 130, action: Hold, current_price: 18921.25, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 131, action: Close_NoOpen, current_price: 18809.61, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 132, action: Close_NoOpen, current_price: 19226.35, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 133, action: Close_NoOpen, current_price: 19078.74, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 134, action: Close_NoOpen, current_price: 19414.16, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 135, action: Close_NoOpen, current_price: 19590.0, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 136, action: Close_NoOpen, current_price: 19426.64, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 137, action: Close_NoOpen, current_price: 19312.12, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 138, action: Close_NoOpen, current_price: 19057.74, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 139, action: Close_NoOpen, current_price: 19632.46, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 140, action: Close_NoOpen, current_price: 20341.67, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 141, action: Close_NoOpen, current_price: 20158.9, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 142, action: Close_NoOpen, current_price: 19962.44, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 143, action: Close_NoOpen, current_price: 19532.6, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 144, action: Long_Open, current_price: 19419.7, current_worth: 997315.6478217904, realized_p: -2684.3521782095877, open_positions_held: 1, quantity_held:5.135587304756461, open_original_value:99731.56478217905, open_current_value:99731.56478217905
step: 145, action: Close, current_price: 19441.92, current_worth: 997329.91489417, realized_p: -2670.0851058299936, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 146, action: Close_NoOpen, current_price: 19132.28, current_worth: 997329.91489417, realized_p: -2670.0851058299936, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 147, action: Close_NoOpen, current_price: 19058.3, current_worth: 997329.91489417, realized_p: -2670.0851058299936, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 148, action: Long_Open, current_price: 19153.99, current_worth: 997329.91489417, realized_p: -2670.0851058299936, open_positions_held: 1, quantity_held:5.20690422671292, open_original_value:99732.99148941702, open_current_value:99732.99148941702
step: 149, action: Close, current_price: 19376.75, current_worth: 998388.9119982376, realized_p: -1611.0880017623979, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 150, action: Close_NoOpen, current_price: 19177.11, current_worth: 998388.9119982376, realized_p: -1611.0880017623979, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 151, action: Long_Open, current_price: 19071.0, current_worth: 998388.9119982376, realized_p: -1611.0880017623979, open_positions_held: 1, quantity_held:5.235115683489265, open_original_value:99838.89119982376, open_current_value:99838.89119982376
step: 152, action: Close, current_price: 19262.52, current_worth: 999290.6998333839, realized_p: -709.3001666160437, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 153, action: Close_NoOpen, current_price: 19552.63, current_worth: 999290.6998333839, realized_p: -709.3001666160437, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 154, action: Close_NoOpen, current_price: 19331.69, current_worth: 999290.6998333839, realized_p: -709.3001666160437, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 155, action: Hold, current_price: 19121.38, current_worth: 999290.6998333839, realized_p: -709.3001666160437, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
